WEAP_name,SWITCH_name,load_zone_name,gen_tech,capacity_limit_mw,capacity_weight,RoR_or_Reservoir,not_generating_in_WEAP,EIA_plant_id,River,Notes
Dion R Holm,Dion R Holm,CA_PGE_CEN,Hydro_NonPumped,156.8,1,RoR,0,380,Cherry Creek,
Don Pedro,Don Pedro,CA_PGE_CEN,Hydro_NonPumped,170.8,1,Reservoir,0,439,Tuolumne River,
Donnells,Donnells,CA_PGE_CEN,Hydro_NonPumped,72,1,Reservoir,0,415,Stanislaus River,
Drum 1,Drum 1,CA_PGE_N,Hydro_NonPumped,49.2,1,RoR,0,235,Bear CA River,
Drum 2,Drum 2,CA_PGE_N,Hydro_NonPumped,53.1,1,RoR,0,236,Bear CA River,
Dworshak Dam and Reservoir,Dworshak,WA_ID_AVA,Hydro_NonPumped,465,1,Reservoir,0,840,North Fork Clearwater River,
Edward C Hyatt_Oroville,Edward C Hyatt,CA_PGE_N,Hydro_NonPumped,351,1,Reservoir,0,437,Feather River,
Electra,Electra,CA_PGE_CEN,Hydro_NonPumped,102.5,1,RoR,0,239,Mokelumne River,
Electron,Electron,WA_W,Hydro_NonPumped,22.8,1,RoR,0,3854,Puyallup River,
Elephant Butte,Elephant Butte,NM_N,Hydro_NonPumped,27.9,1,Reservoir,0,6402,Rio Grande River,
Estes,Estes,CO_DEN,Hydro_NonPumped,45,1,RoR,0,513,Big Thompson River,
Exchequer,Exchequer,CA_PGE_CEN,Hydro_NonPumped,94.5,1,Reservoir,0,409,Merced River,
Faraday,Faraday,OR_PDX,Hydro_NonPumped,19.2,1,RoR,0,3045,Oak Grove Fork Clackamas River,
Flaming Gorge,Flaming Gorge,UT_N,Hydro_NonPumped,151.8,1,Reservoir,0,6405,Colorado River,
Flatiron,Flatiron,CO_DEN,Hydro_NonPumped,86,1,RoR,0,518,CO_CBT2,
Folsom,Folsom,CA_SMUD,Hydro_NonPumped,198.6,1,Reservoir,0,441,Rubicon River,
Foothills,NA,NA,NA,NA,NA,NA,1,NA,LA Aqueduct,NA
Forbestown,Forbestown,CA_PGE_N,Hydro_NonPumped,41.9,1,RoR,0,417,SF Feather River,
Fort Peck,Fort Peck,MT_NE,Hydro_NonPumped,167,1,Reservoir,0,6623,Missouri River,
Fremont Canyon,Fremont Canyon,WY_SE,Hydro_NonPumped,66.8,1,Reservoir,0,4176,North Fork Platte River,
Friant Hydro Facility,Friant Hydro Facility,CA_PGE_CEN,Hydro_NonPumped,37.5,1,Reservoir,0,50393,San Joaquin River,
Gem State,Gem State,ID_E,Hydro_NonPumped,23.4,1,RoR,0,790,Snake River,
Glen Canyon_Lake Powell,Glen Canyon Dam,AZ_APS_N,Hydro_NonPumped,1312,1,Reservoir,0,153,Colorado River,
